Journal Report 1 (R4)	Number of Successful Full-Text Article Requests by Month and Journal																				
SIMON FRASER UNIV																					
SFU																					
Period covered by Report:																					
2013-01-01 to 2013-12-31																					
Date run:																					
2014-02-24																					
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013
Total for all journals		ACS Publications					52407	3581	48826	5000	4755	5444	5133	3274	4989	3689	4382	3635	4772	4670	2664
Accounts of Chemical Research	American Chemical Society	ACS Publications	10.1021/achre4	achre4	0001-4842	1520-4898	658	54	604	54	140	60	43	23	36	37	60	52	54	76	23
ACS Applied Materials & Interfaces	American Chemical Society	ACS Publications	10.1021/aamick	aamick	1944-8244	1944-8252	484	41	443	30	48	42	31	46	52	45	43	33	59	25	30
ACS Catalysis	American Chemical Society	ACS Publications	10.1021/accacs	accacs	2155-5435	2155-5435	2	0	2	0	0	0	0	1	0	0	0	0	1	0	0
ACS Chemical Biology	American Chemical Society	ACS Publications	10.1021/acbcct	acbcct	1554-8929	1554-8937	227	13	214	22	22	22	23	17	8	12	14	18	23	18	28
ACS Chemical Neuroscience	American Chemical Society	ACS Publications	10.1021/acncdm	acncdm		1948-7193	81	14	67	6	4	22	8	2	1	0	2	10	10	11	5
ACS Combinatorial Science	American Chemical Society	ACS Publications	10.1021/acsccc	acsccc	2156-8952	2156-8944	44	7	37	4	4	8	7	3	2	1	4	1	7	1	2
ACS Macro Letters	American Chemical Society	ACS Publications	10.1021/amlccd	amlccd		2161-1653	15	1	14	0	2	0	3	0	0	0	0	4	3	3	0
ACS Medicinal Chemistry Letters	American Chemical Society	ACS Publications	10.1021/amclct	amclct		1948-5875	38	0	38	1	3	16	4	2	2	1	3	1	5	0	0
ACS Nano	American Chemical Society	ACS Publications	10.1021/ancac3	ancac3	1936-0851	1936-086X	797	97	700	69	64	81	80	59	67	58	47	48	82	100	42
ACS Sustainable Chemistry & Engineering	American Chemical Society	ACS Publications	10.1021/ascecg	ascecg		2168-0485	4	0	4	0	0	0	0	1	0	0	3	0	0	0	0
ACS Synthetic Biology	American Chemical Society	ACS Publications	10.1021/asbcd6	asbcd6		2161-5063	2	1	1	0	0	0	0	0	0	0	1	0	1	0	0
Analytical Chemistry	American Chemical Society	ACS Publications	10.1021/ancham	ancham	0003-2700	1520-6882	1549	115	1434	133	154	166	112	98	104	129	105	115	170	149	114
Biochemistry	American Chemical Society	ACS Publications	10.1021/bichaw	bichaw	0006-2960	1520-4995	1589	237	1352	103	118	177	158	157	136	127	104	91	160	164	94
