Journal Report 1 (R4)	Number of Successful Full-text Article Requests by Month and Journal																				
SIMON FRASER UNIV																					
																					
Period covered by Report:																					
2013-01-01 to 2013-12-31																					
Date run:																					
2014-02-24																					
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013
Total for all Journals		EBSCOhost					4150930	1305438	2845492	308131	411858	626391	338297	179253	232421	231559	100597	299687	564887	709836	148013
12th International Conference on Finance & Banking: Structural & Regional Impacts of Financial Crises		EBSCOhost		1239600			1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
14-19 Skills Bulletin	Education Publishing Worldwide Ltd	EBSCOhost		1582007	1752-2560		9	0	9	0	0	2	0	0	2	0	0	0	1	4	0
1895: Bulletin de l'Association Française de Recherche sur l’Histoire du Cinéma	Association Francaise de Recherche sur l'histoire du Cinema	EBSCOhost		374387	0769-0959	1960-6176	4	0	4	0	0	0	0	0	0	2	0	1	0	1	0
20/20	"Jobson Publishing, LLC"	EBSCOhost		274029	0192-1304		300	0	300	25	3	14	4	5	16	2	1	24	56	150	0
21st Century Science & Technology	21st Century Science Associates	EBSCOhost		423404	0895-6820		7	2	5	0	0	7	0	0	0	0	0	0	0	0	0
33 Metal Producing	"Penton Media, Inc."	EBSCOhost		246	0149-1210		3	3	0	0	0	3	0	0	0	0	0	0	0	0	0
"3CMedia: Journal of Community, Citizen's & Third Sector Media & Communication"	CBOnline	EBSCOhost		491682		1832-6161	19	0	19	1	1	1	2	0	1	0	0	1	8	4	0
"3L: Language, Linguistics, Literature The Southeast Asian Journal of English Language Studies"	Akademika	EBSCOhost		608971	0128-5157		2	0	2	0	1	0	1	0	0	0	0	0	0	0	0
3rd Annual Message to Congress (Franklin Roosevelt)	Great Neck Publishing	EBSCOhost		339741			1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
3x3: The Magazine of Contemporary Illustration	ARTISANAL MEDIA LLC	EBSCOhost		1755600	1546-640X		3	0	3	0	0	0	0	0	0	0	0	0	3	0	0
401 (k) Advisor	Aspen Publishers Inc.	EBSCOhost		251	1080-2142		12	0	12	0	0	1	1	0	1	2	2	1	3	1	0
