Journal Report 1 (R4)	Number of Successful Full-text Article Requests by Month and Journal																				
SIMON FRASER UNIVERSITY - 2062																					
																					
Period covered by Report:																					
2013-01-01 to 2013-12-31																					
Date run:																					
2014-01-27																					
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013
Total for all Journals	Nature Publishing Group	nature.com					926014	900336	25678	184499	166718	181566	186690	152363	7007	5361	6748	8625	7745	11897	6795
Bone Marrow Transplantation    	Nature Publishing Group	nature.com	10.1038/bmt	BMT	0268-3369	1476-5365	90	64	26	10	12	12	12	4	11	5	1	2	9	6	6
British Dental Journal    	Nature Publishing Group	nature.com	10.1038/bdj	BDJ	0007-0610	1476-5373	497	345	152	21	25	162	46	18	21	32	13	16	32	104	7
British Journal of Cancer    	Nature Publishing Group	nature.com	10.1038/bjc	BJC	0007-0920	1532-1827	804	691	113	62	44	22	51	27	29	28	140	128	121	102	50
Cancer Gene Therapy    	Nature Publishing Group	nature.com	10.1038/cgt	CGT	0929-1903	1476-5500	74	63	11	9	2	1	8	3	7	5	3	4	1	17	14
Cell Death and Differentiation    	Nature Publishing Group	nature.com	10.1038/cdd	CDD	1350-9047	1476-5403	304	218	86	25	30	25	31	28	13	12	14	21	37	43	25
Cell Research    	Nature Publishing Group	nature.com	10.1038/cr	CR	1001-0602	1748-7838	311	213	98	32	27	31	30	43	18	23	8	13	18	56	12
Clinical Pharmacology & Therapeutics    	Nature Publishing Group	nature.com	10.1038/clpt	CLPT	0009-9236	1532-6535	431	343	88	69	35	35	52	37	40	21	32	35	15	40	20
EMBO reports    	Nature Publishing Group	nature.com	10.1038/embor	EMBOR	1469-221X	1469-3178	621	444	177	44	52	60	57	37	36	44	44	46	59	91	51
European Journal of Clinical Nutrition    	Nature Publishing Group	nature.com	10.1038/ejcn	EJCN	0954-3007	1476-5640	530	381	149	29	59	67	26	41	74	64	15	24	42	70	19
European Journal of Human Genetics    	Nature Publishing Group	nature.com	10.1038/ejhg	EJHG	1018-4813	1476-5438	356	237	119	63	91	26	46	25	9	21	4	11	12	46	2
Evidence-Based Dentistry    	Nature Publishing Group	nature.com	10.1038/ebd	EBD	1462-0049	1476-5446	41	30	11	1	8	2	3	2	5	2	0	1	8	7	2
Eye    	Nature Publishing Group	nature.com	10.1038/eye	EYE	0950-222X	1476-5454	52	29	23	1	11	10	2	2	3	5	2	4	1	9	2
Gene Therapy    	Nature Publishing Group	nature.com	10.1038/gt	GT	0969-7128	1476-5462	209	170	39	25	10	14	62	17	28	9	9	11	6	11	7
Genes and Immunity    	Nature Publishing Group	nature.com	10.1038/gene	GENE	1466-4879	1476-5470	67	47	20	16	1	5	12	12	0	6	0	1	4	4	6
Heredity    	Nature Publishing Group	nature.com	10.1038/hdy	HDY	0018-067X	1365-2540	562	371	191	48	76	52	41	79	37	18	21	66	49	39	36
